,names,scores,logfoldchanges,pvals,pvals_adj
84,HSP90B1,21.67864,3.6485722,3.2637339098211284e-104,8.85447258316185e-102
85,ISCU,21.634863,2.2306557,8.439833534484374e-104,2.2636976240276668e-101
86,RUBCNL,21.585785,2.457969,2.443002466227179e-103,6.478897439366303e-101
87,COX7C,21.52773,3.6418633,8.562614559584904e-103,2.2455932383320277e-100
88,VOPP1,21.47033,2.9985373,2.9492628538202073e-102,7.649610015243776e-100
89,PPP1R14B,21.44405,2.906458,5.189619549887127e-102,1.3314194590868029e-99
90,CIRBP,21.411448,3.1702366,1.045141086984918e-101,2.624304795330321e-99
91,POU2F2,21.327858,3.1528227,6.260900093407971e-101,1.5555371042600876e-98
93,CHCHD2,21.287771,2.4447649,1.4736972167503404e-100,3.5859459182431215e-98
94,ACAP2,21.165209,2.0596256,1.9987815333052435e-99,4.814004135775885e-97
95,RAB30,21.148993,2.5088556,2.8189661007337796e-99,6.720813825820142e-97
96,SNX3,21.140865,2.2080913,3.348806319225884e-99,7.904187555268854e-97
97,CTSS,21.109888,2.512434,6.452610954809111e-99,1.5079304590728658e-96
98,NEAT1,21.008682,2.498918,5.462965129239093e-98,1.264140842602258e-95
99,MORF4L1,21.001955,2.0205483,6.294096090092632e-98,1.4423257282956931e-95
100,GABARAP,20.926153,2.4396875,3.0948906033359927e-97,7.023913741398023e-95
101,UBB,20.925434,2.462857,3.1419680586381734e-97,7.06284496076541e-95
102,RAB5C,20.860245,2.0673845,1.2304049284087563e-96,2.7397403325690447e-94
103,ATP6V0C,20.753162,2.1735787,1.1478515131448325e-95,2.5320317069866804e-93
104,RACK1,20.66727,10.208243,6.826959168558725e-95,1.4920066412545517e-92
105,MBD4,20.634996,2.1257927,1.331540462209704e-94,2.8833348192234534e-92
106,EMP3,20.601768,4.0921187,2.646052153943732e-94,5.6777062717758105e-92
107,FXR1,20.458971,2.0483155,4.998218495028056e-93,1.062819379622948e-90
108,PIM1,20.448238,3.2282097,6.228313729662152e-93,1.3125615085822837e-90
109,CYB5R3,20.371206,2.0639148,3.0116609375023155e-92,6.290640098041341e-90
110,NPC2,20.172173,2.1351926,1.719170870428026e-90,3.559437724097605e-88
111,DAZAP2,20.14223,2.1125765,3.1484448896356798e-90,6.461977802614865e-88
112,FAU,19.944805,9.882086,1.6629781136515485e-88,3.3837303807342675e-86
113,IL4R,19.919912,2.2522295,2.7346813480949e-88,5.5168105862464886e-86
114,SLC25A6,19.850391,5.092789,1.0934449502009653e-87,2.1687883327389396e-85
115,EBLN3P,19.824335,1.9256905,1.8359167732168241e-87,3.611095299853058e-85
116,RHOH,19.803291,2.3561664,2.7886967843163036e-87,5.439802495885762e-85
117,GRB2,19.801615,2.1629438,2.8830001068085612e-87,5.577659960737908e-85
118,ATP5MC2,19.749187,2.9690633,8.15196625012493e-87,1.5643159300951117e-84
119,RPN1,19.46282,2.1773736,2.269435160172049e-84,4.319796619801684e-82
120,PELI1,19.430128,1.8769999,4.2928698882195655e-84,8.105968637731712e-82
121,NIBAN3,19.310654,2.608632,4.370104651563661e-83,8.186315880226753e-81
123,EML4,19.181494,1.9610533,5.284076080234632e-82,9.668220753626202e-80
124,ANXA11,19.162975,2.345247,7.54363178396983e-82,1.3696333922849223e-79
125,ABCG1,19.150162,2.4552002,9.648615036907641e-82,1.7384447382910767e-79
126,NCK2,19.13269,1.7566571,1.3492796742569656e-81,2.4126551629914512e-79
127,UBC,19.100613,5.223002,2.4954033706313596e-81,4.428496673459548e-79
128,EIF4A2,19.06347,1.7724142,5.079100237173119e-81,8.946418126716204e-79
129,COPB2,18.996515,2.0492344,1.8224968215356642e-80,3.186399442867132e-78
130,SERP1,18.991947,2.2293267,1.9881469509135657e-80,3.450458270765654e-78
131,RASA2,18.972094,2.0387728,2.901144715478177e-80,4.998227643754118e-78
